date;title;time;category
2025-04-28;Tes Sumatif Satuan Pendidikan (TSSP);07:00;tssp
2025-04-29;Tes Sumatif Satuan Pendidikan (TSSP);07:00;tssp
2025-04-30;Tes Sumatif Satuan Pendidikan (TSSP);07:00;tssp
2025-05-01;Libur Hari Buruh;-;libur nasional
2025-05-02;Tes Sumatif Satuan Pendidikan (TSSP);07:00;tssp
2025-05-03;Tes Sumatif Satuan Pendidikan (TSSP);07:00;tssp
2025-05-12;Hari Raya Waisak;-;libur nasional
2025-05-13;Hari Raya Waisak;-;libur nasional
2025-05-22;Pelaksanaan UTS, PAS, PAT;07:00;ulangan
2025-05-23;Pelaksanaan UTS, PAS, PAT;07:00;ulangan
2025-05-24;Pelaksanaan UTS, PAS, PAT;07:00;ulangan
2025-05-26;Pelaksanaan UTS, PAS, PAT;07:00;ulangan
2025-05-27;Pelaksanaan UTS, PAS, PAT;07:00;ulangan
2025-05-28;Pelaksanaan UTS, PAS, PAT;07:00;ulangan
2025-05-29;Libur Nasional;-;libur nasional
2025-06-02;Pelaksanaan UTS, PAS, PAT;07:00;ulangan
2025-06-02;Pengumuman Kelulusan Kelas 6 Tahun 2025;07:00;tssp
2025-06-14;Penyerahan Buku Rapor;07:00;rapor
2025-06-16;Libur semester;-;libur semester
2025-06-17;Libur semester;-;libur semester
2025-06-18;Libur semester;-;libur semester
2025-06-19;Libur semester;-;libur semester
2025-06-20;Libur semester;-;libur semester
2025-06-21;Libur semester;-;libur semester
2025-06-23;Pelaksanaan Penerimaan Peserta Didik Baru (PPDB);07:00;ppdb
2025-06-24;Pelaksanaan Penerimaan Peserta Didik Baru (PPDB);07:00;ppdb
2025-06-25;Pelaksanaan Penerimaan Peserta Didik Baru (PPDB);07:00;ppdb
2025-06-26;Pelaksanaan Penerimaan Peserta Didik Baru (PPDB);07:00;ppdb
2025-06-27;Libur Nasional;-;libur nasional
2025-06-28;Pelaksanaan Penerimaan Peserta Didik Baru (PPDB);07:00;ppdb
2025-06-30;Libur semester;-;libur semester
2025-07-01;Libur semester;-;libur semester
2025-07-02;Libur semester;-;libur semester
2025-07-03;Libur semester;-;libur semester
2025-07-04;Libur semester;-;libur semester
2025-07-05;Libur semester;-;libur semester
2025-07-07;Libur semester;-;libur semester
2025-07-08;Libur semester;-;libur semester
2025-07-09;Libur semester;-;libur semester
2025-07-10;Libur semester;-;libur semester
2025-07-11;Libur semester;-;libur semester
2025-07-12;Libur semester;-;libur semester
2025-07-14;Awal masuk Tahun Ajaran Baru;-;awal masuk semester
2025-07-15;Awal masuk Tahun Ajaran Baru;-;awal masuk semester
2025-07-16;Awal masuk Tahun Ajaran Baru;-;awal masuk
2025-07-17;Awal masuk Tahun Ajaran Baru;-;awal masuk semester
2025-07-18;Awal masuk Tahun Ajaran Baru;-;awal masuk
2025-08-18;Hari Kemerdekaan Republik Indonesia;-;libur nasional
2025-09-05;Libur Maulid Nabi Muhammad SAW;-;libur nasional
2025-09-22;Pelaksanaan ANBK SD/MI;-;anbk
2025-09-23;Pelaksanaan ANBK SD/MI;-;anbk
2025-09-24;Pelaksanaan ANBK SD/MI;-;anbk
2025-09-25;Pelaksanaan ANBK SD/MI;-;anbk
2025-09-29;Pelaksanaan ANBK SD/MI;-;anbk
2025-09-30;Pelaksanaan ANBK SD/MI;-;anbk
2025-10-01;Pelaksanaan ANBK SD/MI;-;anbk
2025-10-02;Pelaksanaan ANBK SD/MI;-;anbk
2025-10-06;UTS, PAS, PAT;-;ulangan
2025-10-07;UTS, PAS, PAT;-;ulangan
2025-10-08;UTS, PAS, PAT;-;ulangan
2025-10-09;UTS, PAS, PAT;-;ulangan
2025-10-10;UTS, PAS, PAT;-;ulangan
2025-10-13;UTS, PAS, PAT;-;ulangan
2025-12-1; PAT;-;ulangan
2025-12-2; PAT;-;ulangan
2025-12-3; PAT;-;ulangan
2025-12-4; PAT;-;ulangan
2025-12-5; PAT;-;ulangan
2025-12-8; PAT;-;ulangan
2025-12-19;Penyerahan Buku Rapor;-;rapor
2025-12-20;Libur Semester;-;libur semester
2025-12-21;Libur Semester;-;libur semester
2025-12-22;Libur Semester;-;libur semester
2025-12-23;Libur Semester;-;libur semester
2025-12-24;Libur Semester;-;libur semester
2025-12-25;Libur Natal;-;libur nasional
2025-12-26;Libur Natal;-;libur semester
2025-12-27;Libur Semester;-;libur semester
2025-12-29;Libur Semester;-;libur semester
2025-12-30;Libur Semester;-;libur semester
2025-12-31;Libur Semester;-;libur semester
